,concept_code,concept_id
748,N0000190289,44815261
749,MMR VAR#1SIT,2000137479
750,N0000188122,43561841
751,24baff18-4097-488e-a259-6bf3bdcacb7b,46239656
752,32acdee2-0847-4e37-84dc-afc43e0a68a3,37500313
753,N0000190375,44815408
754,N0000189034,44785972
755,N0000187970,43561689
756,N0000189839,44815700
757,N0000187587,43561306
758,be1f2c24-05d0-4cae-b4b7-a50fffaebfb4,36513201
759,N0000185226,42874511
760,MMR VAR#2MFR,2000137485
761,N0000188872,44507288
762,N0000188772,44507188
763,N0000187334,43561053
764,N0000187314,43561033
765,26079df2-c5e8-4609-a6eb-e6b607d833bc,825640
766,13968111000001102,21224957
767,9ki1.11,45439594
768,433733003,3390133
769,147605008,40314469
770,147684009,3099404
771,64999,45110714
772,6458900,45161610
773,6401100,44855212
774,54569158800,45326631
775,6498400,45281441
776,2230358,44658968
777,OMOP707917,43822936
778,MMR II,2000106055
779,OMOP1141802,35408217
780,94592998,37878748
781,OMOP707912,43588898
782,OMOP707915,43606944
783,OMOP717878,43719906
784,OMOP707932,43859171
785,OMOP719199,43648262
786,343781000009109,42598957
787,N0000189005,44785943
788,N0000186400,43527494
789,N0000188027,43561746
790,N0000189879,44815638
791,N0000185299,42874584
792,N0000188149,43561868
793,N0000190276,44815290
794,D008458,45610702
795,N0000187824,43561543
796,MMR #1BY,2000137448
797,63853,45715843
798,N0000190388,44815163
799,1007534,36027654
800,1158639,36224663
801,N0000186390,43527484
802,N0000189825,44815655
803,MMR #2,2000137454
804,1156358,36214578
805,N0000187443,43561162
806,MMR VAR#1VS,2000137480
807,336e0815-7b44-446a-9992-3d3d6368de91,36400364
808,bf3bbec4-f9e1-5a2d-e053-2a95a90ab153,35501393
809,5-685.4x,42750827
810,36,45906026
811,170432003,4016779
812,OMOP113027,44531044
813,stof01093,36287465
814,247040301,45266020
815,2603515,779903
816,OMOP133749,44578880
817,346519,40065972
818,OMOP707931,43768867
819,21048978,42523428
820,1099371000000102,36685567
821,OMOP3122835,36271960
822,OMOP1090271,44095640
823,OMOP719162,43828118
824,OMOP1127409,44132778
825,N0000188028,43561747
826,N0000187346,43561065
827,75531011000036108,2969977
828,d773f47d-06b4-4ba9-bb39-4b25e03e0c13,44403480
829,39476,45709598
